Entity ID,Friendly Name,State,Unit,Device Class,State Class,Icon,Last Updated,Last Changed,Domain,Integration,Restored,Supported Features
binary_sensor.adguard_home_running,AdGuard Home Running,on,N/A,running,N/A,N/A,2025-10-02T15:07:07.256058+00:00,2025-10-02T15:07:07.256058+00:00,binary_sensor,N/A,False,N/A
binary_sensor.glances_running,Glances Running,off,N/A,running,N/A,N/A,2025-10-02T15:07:07.256440+00:00,2025-10-02T15:07:07.256440+00:00,binary_sensor,N/A,False,N/A
binary_sensor.vaultwarden_bitwarden_running,Vaultwarden (Bitwarden) Running,off,N/A,running,N/A,N/A,2025-10-02T15:07:07.256854+00:00,2025-10-02T15:07:07.256854+00:00,binary_sensor,N/A,False,N/A
binary_sensor.mosquitto_broker_running,Mosquitto broker Running,on,N/A,running,N/A,N/A,2025-10-02T15:07:07.257407+00:00,2025-10-02T15:07:07.257407+00:00,binary_sensor,N/A,False,N/A
binary_sensor.rpc_shutdown_running,RPC Shutdown Running,on,N/A,running,N/A,N/A,2025-10-02T15:07:07.258055+00:00,2025-10-02T15:07:07.258055+00:00,binary_sensor,N/A,False,N/A
binary_sensor.samba_share_running,Samba share Running,on,N/A,running,N/A,N/A,2025-10-02T15:07:07.258527+00:00,2025-10-02T15:07:07.258527+00:00,binary_sensor,N/A,False,N/A
binary_sensor.appdaemon_running,AppDaemon Running,on,N/A,running,N/A,N/A,2025-10-02T15:07:07.258914+00:00,2025-10-02T15:07:07.258914+00:00,binary_sensor,N/A,False,N/A
binary_sensor.bookstack_running,Bookstack Running,off,N/A,running,N/A,N/A,2025-10-02T15:07:07.259277+00:00,2025-10-02T15:07:07.259277+00:00,binary_sensor,N/A,False,N/A
binary_sensor.motioneye_running,motionEye Running,on,N/A,running,N/A,N/A,2025-10-02T15:07:07.259721+00:00,2025-10-02T15:07:07.259721+00:00,binary_sensor,N/A,False,N/A
binary_sensor.sabnzbd_running,SABnzbd Running,on,N/A,running,N/A,N/A,2025-10-02T15:07:07.260106+00:00,2025-10-02T15:07:07.260106+00:00,binary_sensor,N/A,False,N/A
